DistrictName,BlockID,blockName,IHHLTotal
BAGALKOT,5753,BADAMI,45957
BAGALKOT,5754,BAGALKOT,32326
BAGALKOT,5755,BILAGI,26455
BAGALKOT,5756,HUNGUND,39563
BAGALKOT,5757,JAMKHANDI,46507
BAGALKOT,5758,MUDHOL,37696
BALLARI,5781,BELLARY,53332
BALLARI,5782,HADAGALLI,35343
BALLARI,5783,HAGARIBOMMANAHALLI,30619
BALLARI,5784,HOSPET,27108
BALLARI,5785,KUDLIGI,40843
BALLARI,5786,SANDUR,32138
BALLARI,5787,SIRUGUPPA,33728
BELAGAVI,5771,ATHANI,62130
BELAGAVI,5773,BAILHONGAL,47527
BELAGAVI,5772,BELAGAVI,72919
BELAGAVI,5774,CHIKKODI,78084
BELAGAVI,5775,GOKAK,57473
BELAGAVI,5776,HUKKERI,58941
BELAGAVI,5777,KHANAPUR,44281
BELAGAVI,5779,RAMDURG,37748
BELAGAVI,5780,RAYBAG,39659
BELAGAVI,5778,SAVADATTI,42502
BENGALURU RURAL,5764,DEVANHALLI,28166
BENGALURU RURAL,5765,DODBALLAPUR,45367
BENGALURU RURAL,5766,HOSKOTE,48041
BENGALURU RURAL,5769,NELAMANGALA,34459
BENGALURU URBAN,5759,ANEKAL,57613
BENGALURU URBAN,5760,BANGALORE EAST,21610
BENGALURU URBAN,5761,BANGALORE NORTH,70680
BENGALURU URBAN,5762,BANGALORE SOUTH,32692
BIDAR,5788,AURAD,47131
BIDAR,5789,BASAVAKALYAN,44216
BIDAR,5790,BHALKI,45859
BIDAR,5791,BIDAR,43243
BIDAR,5792,HUMNABAD,41330
CHAMARAJANAGARA,5798,CHAMARAJANAGAR,58655
CHAMARAJANAGARA,5799,GUNDLUPET,46548
CHAMARAJANAGARA,5800,KOLLEGALA,57643
CHAMARAJANAGARA,5801,YELANDUR,15055
CHIKKABALLAPURA,5864,BAGEPALLI,38079
CHIKKABALLAPURA,5866,CHIKBALLAPUR,29614
CHIKKABALLAPURA,5867,CHINTAMANI,45951
CHIKKABALLAPURA,5868,GAURIBIDANUR,54383
CHIKKABALLAPURA,5869,GUDIBANDA,10571
CHIKKABALLAPURA,5873,SIDLAGHATTA,34202
CHIKKAMAGALURU,5802,CHICKMAGALUR,38503
CHIKKAMAGALURU,5803,KADUR,45108
CHIKKAMAGALURU,5804,KOPPA,18469
CHIKKAMAGALURU,5805,MUDIGERE,23961
CHIKKAMAGALURU,5806,NARASIMHARAJAPURA,13241
CHIKKAMAGALURU,5807,SRINGERI,7590
CHIKKAMAGALURU,5808,TARIKERE,35986
CHITRADURGA,5809,CHALLAKERE,46382
CHITRADURGA,5810,CHITRADURGA,52866
CHITRADURGA,5811,HIRIYUR,44012
CHITRADURGA,5812,HOLALKERE,39890
CHITRADURGA,5813,HOSDURGA,38123
CHITRADURGA,5814,MOLAKALMURU,19291
DAVANGERE,5820,CHANNAGIRI,58130
DAVANGERE,5821,DAVANAGERE,49550
DAVANGERE,5822,HARAPPANAHALLI,47544
DAVANGERE,5823,HARIHARA,32625
DAVANGERE,5824,HONNALI,43120
DAVANGERE,5825,JAGALUR,29078
DHARWAD,5826,DHARWAD,39201
DHARWAD,5827,HUBLI,26429
DHARWAD,5828,KALGHATGI,29295
DHARWAD,5829,KUNDGOL,24567
DHARWAD,5830,NAVALGUND,21222
GADAG,5831,GADAG,36287
GADAG,5832,MUNDARAGI,20409
GADAG,5833,NARAGUND,11949
GADAG,5834,RON,38539
GADAG,5835,SHIRAHATTI,28281
HASSAN,5846,ALUR,19404
HASSAN,5847,ARKALGUD,36491
HASSAN,5848,ARSIKERE,59119
HASSAN,5849,BELUR,36628
HASSAN,5850,CHANNARAYAPATNA,61964
HASSAN,5851,HASSAN,51212
HASSAN,5852,HOLENARSIPUR,31732
HASSAN,5853,SAKALESHPUR,24575
HAVERI,5854,BYADGI,20577
HAVERI,5855,HANAGAL,34770
HAVERI,5856,HAVERI,30149
HAVERI,5857,HIREKERUR,36200
HAVERI,5858,RANEBENNUR,32161
HAVERI,5859,SAVANUR,18384
HAVERI,5860,SHIGGAON,22839
KALABURAGI,5836,AFZALPUR,19349
KALABURAGI,5837,ALAND,40573
KALABURAGI,5838,CHINCHOLI,29414
KALABURAGI,5839,CHITAPUR,31493
KALABURAGI,5840,GULBARGA,35860
KALABURAGI,5841,JEVARGI,35540
KALABURAGI,5842,SEDAM,22348
KODAGU,5861,MADIKERI,24845
KODAGU,5862,SOMVARPET,47076
KODAGU,5863,VIRAJPET,46014
KOLAR,5865,BANGARAPET,46806
KOLAR,5870,KOLAR,48879
KOLAR,5871,MALUR,37694
KOLAR,5872,MULBAGAL,46124
KOLAR,5874,SRINIVASPUR,33789
KOPPAL,5875,GANGAVATHI,44377
KOPPAL,5876,KOPPAL,49452
KOPPAL,5877,KUSHTAGI,30526
KOPPAL,5878,YELBURGA,35224
MANDYA,5879,KRISHNARAJPET,46684
MANDYA,5880,MADDUR,63516
MANDYA,5881,MALVALLI,56150
MANDYA,5882,MANDYA,65030
MANDYA,5883,NAGAMANGALA,38975
MANDYA,5884,PANDAVAPURA,39858
MANDYA,5885,SHRIRANGAPATTANA,34154
MANGALORE(DAKSHINA KANNADA),5815,BANTVAL,58064
MANGALORE(DAKSHINA KANNADA),5816,BELTANGADI,52144
MANGALORE(DAKSHINA KANNADA),5817,MANGALORE,70472
MANGALORE(DAKSHINA KANNADA),5818,PUTTUR,45203
MANGALORE(DAKSHINA KANNADA),5819,SULYA,25181
MYSURU,5886,HEGGADADEVANKOTE,58509
MYSURU,5887,HUNSUR,58351
MYSURU,5888,KRISHNARAJANAGARA,45671
MYSURU,5889,MYSORE,56655
MYSURU,5890,NANJANGUD,78317
MYSURU,5891,PIRIYAPATNA,49463
MYSURU,5892,TIRUMAKUDAL-NARSIPUR,60611
RAICHUR,5893,DEVADURGA,44257
RAICHUR,5894,LINGSUGUR,50112
RAICHUR,5895,MANVI,58574
RAICHUR,5896,RAICHUR,50001
RAICHUR,5897,SINDHANUR,54010
RAMANAGARA,5763,CHANNAPATNA,39387
RAMANAGARA,5767,KANAKAPURA,59088
RAMANAGARA,5768,MAGADI,37114
RAMANAGARA,5770,RAMANAGARAM,33378
SHIVAMOGGA,5898,BHADRAVATI,39859
SHIVAMOGGA,5899,HOSANAGARA,26476
SHIVAMOGGA,5900,SAGAR,27983
SHIVAMOGGA,5901,SHIKARPUR,35132
SHIVAMOGGA,5902,SHIMOGA,33916
SHIVAMOGGA,5903,SORAB,40058
SHIVAMOGGA,5904,TIRTHAHALLI,28261
TUMAKURU,5905,CHIKNAYAKANHALLI,41371
TUMAKURU,5906,GUBBI,51963
TUMAKURU,5907,KORATAGERE,30418
TUMAKURU,5908,KUNIGAL,39561
TUMAKURU,5909,MADHUGIRI,47686
TUMAKURU,5910,PAVAGADA,37836
TUMAKURU,5911,SIRA,46402
TUMAKURU,5912,TIPTUR,36112
TUMAKURU,5913,TUMKUR,53921
TUMAKURU,5914,TURUVEKERE,28722
UDUPI,5915,KARKAL,40299
UDUPI,5916,KUNDAPURA,69655
UDUPI,5917,UDUPI,81083
UTTARA KANNADA,5918,ANKOLA,22765
UTTARA KANNADA,5919,BHATKAL,22183
UTTARA KANNADA,5920,HALIYAL,15768
UTTARA KANNADA,5921,HONAVAR,30512
UTTARA KANNADA,5922,KARWAR,16902
UTTARA KANNADA,5923,KUMTA,26077
UTTARA KANNADA,5924,MUNDGOD,14610
UTTARA KANNADA,5925,SIDDAPUR,20879
UTTARA KANNADA,5926,SIRSI,28124
UTTARA KANNADA,5927,SUPA,12379
UTTARA KANNADA,5928,YELLAPUR,17679
VIJAYAPUR,5793,BASAVANA BAGEWADI,44498
VIJAYAPUR,5794,BIJAPUR,64826
VIJAYAPUR,5795,INDI,63078
VIJAYAPUR,5796,MUDDEBIHAL,35900
VIJAYAPUR,5797,SINDAGI,51224
YADGIR,5843,SHAHPUR,43933
YADGIR,5844,SHORAPUR,44450
YADGIR,5845,YADGIR,35333
